order_id,order_date,region,category,product,customer_segment,quantity,unit_price,discount,revenue
ORD-10000,2023-07-21,South,Technology,Monitor,Corporate,10,291.24,0.15,2475.54
ORD-10001,2022-04-06,West,Furniture,Chair,Home Office,9,184.96,0.0,1664.64
ORD-10002,2022-11-21,West,Furniture,Bookcase,Home Office,6,195.74,0.2,939.55
ORD-10003,2022-09-06,North,Office Supplies,Pen Set,Corporate,11,21.27,0.0,233.97
ORD-10004,2022-01-27,East,Technology,Phone,Corporate,2,328.43,0.2,525.49
ORD-10005,2022-07-14,West,Technology,Monitor,Corporate,6,279.44,0.0,1676.64
ORD-10006,2022-05-27,North,Furniture,Table,Home Office,8,126.47,0.15,860.0
ORD-10007,2023-12-06,North,Furniture,Desk,Consumer,10,190.23,0.15,1616.96
ORD-10008,2022-03-08,North,Technology,Phone,Corporate,3,337.74,0.15,861.24
ORD-10009,2022-03-21,North,Technology,Monitor,Corporate,1,310.83,0.0,310.83
ORD-10010,2022-10-04,South,Furniture,Desk,Corporate,7,200.34,0.0,1402.38
ORD-10011,2023-11-30,North,Technology,Printer,Home Office,2,322.63,0.0,645.26
ORD-10012,2023-12-08,East,Technology,Printer,Corporate,11,374.48,0.0,4119.28
ORD-10013,2023-01-25,East,Office Supplies,Paper,Corporate,2,32.29,0.2,51.66
ORD-10014,2022-04-17,North,Office Supplies,Labels,Consumer,7,33.74,0.0,236.18
ORD-10015,2023-12-09,West,Furniture,Chair,Home Office,8,197.78,0.0,1582.24
ORD-10016,2022-01-28,East,Technology,Phone,Home Office,11,328.77,0.0,3616.47
ORD-10017,2022-02-10,West,Technology,Printer,Home Office,1,307.37,0.0,307.37
ORD-10018,2023-04-26,South,Furniture,Desk,Consumer,9,191.99,0.15,1468.72
ORD-10019,2022-07-24,East,Technology,Laptop,Corporate,8,303.61,0.0,2428.88
ORD-10020,2022-04-21,South,Office Supplies,Labels,Home Office,5,17.59,0.1,79.16
ORD-10021,2023-09-11,North,Office Supplies,Labels,Consumer,5,31.77,0.0,158.85
ORD-10022,2023-01-10,South,Technology,Laptop,Home Office,1,274.72,0.0,274.72
ORD-10023,2022-10-16,East,Technology,Monitor,Consumer,4,436.38,0.0,1745.52
ORD-10024,2023-11-26,West,Technology,Phone,Consumer,3,443.61,0.0,1330.83
ORD-10025,2023-07-15,South,Technology,Laptop,Home Office,9,354.07,0.0,3186.63
ORD-10026,2023-11-05,West,Office Supplies,Binder,Home Office,2,25.02,0.0,50.04
ORD-10027,2023-07-29,North,Office Supplies,Paper,Consumer,9,29.34,0.1,237.65
ORD-10028,2022-08-31,South,Technology,Printer,Consumer,7,269.45,0.0,1886.15
ORD-10029,2023-08-18,West,Furniture,Desk,Home Office,10,140.16,0.0,1401.6
ORD-10030,2023-04-27,North,Technology,Phone,Corporate,5,439.34,0.0,2196.7
ORD-10031,2022-03-07,West,Technology,Laptop,Corporate,3,237.86,0.0,713.58
ORD-10032,2023-06-17,South,Office Supplies,Pen Set,Home Office,10,33.48,0.15,284.58
ORD-10033,2023-08-19,South,Office Supplies,Paper,Corporate,11,18.32,0.0,201.52
ORD-10034,2022-07-01,West,Furniture,Desk,Home Office,11,197.45,0.0,2171.95
ORD-10035,2022-03-25,East,Technology,Phone,Consumer,8,228.72,0.0,1829.76
ORD-10036,2023-08-16,North,Office Supplies,Labels,Corporate,5,28.19,0.0,140.95
ORD-10037,2022-06-22,West,Technology,Monitor,Consumer,9,439.06,0.15,3358.81
ORD-10038,2022-08-21,West,Furniture,Bookcase,Home Office,2,204.95,0.1,368.91
ORD-10039,2022-11-14,North,Technology,Phone,Home Office,9,252.93,0.1,2048.73
ORD-10040,2023-02-23,East,Office Supplies,Binder,Corporate,5,28.16,0.0,140.8
ORD-10041,2023-10-29,East,Office Supplies,Pen Set,Corporate,10,31.56,0.0,315.6
ORD-10042,2023-10-14,South,Office Supplies,Binder,Corporate,2,17.97,0.0,35.94
ORD-10043,2023-04-08,East,Furniture,Chair,Corporate,11,173.79,0.0,1911.69
ORD-10044,2022-03-15,North,Technology,Printer,Corporate,7,253.95,0.0,1777.65
ORD-10045,2022-08-12,North,Office Supplies,Binder,Corporate,5,26.94,0.0,134.7
ORD-10046,2022-11-30,West,Furniture,Chair,Home Office,7,220.84,0.0,1545.88
ORD-10047,2022-05-26,East,Furniture,Chair,Consumer,9,142.52,0.0,1282.68
ORD-10048,2023-10-24,East,Furniture,Bookcase,Home Office,9,164.61,0.15,1259.27
ORD-10049,2022-01-15,South,Technology,Laptop,Consumer,5,422.0,0.0,2110.0
ORD-10050,2023-06-15,East,Office Supplies,Binder,Corporate,1,31.95,0.0,31.95
ORD-10051,2022-06-18,North,Technology,Printer,Consumer,6,393.67,0.0,2362.02
ORD-10052,2023-07-01,North,Furniture,Bookcase,Consumer,8,141.84,0.0,1134.72
ORD-10053,2022-04-05,West,Office Supplies,Labels,Corporate,8,34.94,0.2,223.62
ORD-10054,2022-10-16,South,Office Supplies,Paper,Corporate,4,20.73,0.1,74.63
ORD-10055,2022-05-31,West,Office Supplies,Pen Set,Home Office,5,24.12,0.0,120.6
ORD-10056,2023-01-31,South,Furniture,Desk,Corporate,2,195.05,0.1,351.09
ORD-10057,2022-07-04,East,Technology,Laptop,Home Office,11,310.78,0.0,3418.58
ORD-10058,2022-04-19,South,Office Supplies,Labels,Consumer,4,31.94,0.2,102.21
ORD-10059,2023-05-11,West,Furniture,Bookcase,Consumer,11,140.71,0.0,1547.81
ORD-10060,2023-07-02,West,Technology,Printer,Home Office,10,428.83,0.0,4288.3
ORD-10061,2022-07-08,East,Office Supplies,Paper,Consumer,6,18.07,0.0,108.42
ORD-10062,2022-11-29,North,Technology,Laptop,Consumer,9,446.96,0.15,3419.24
ORD-10063,2022-02-15,North,Office Supplies,Paper,Consumer,5,21.48,0.0,107.4
ORD-10064,2022-03-31,North,Furniture,Table,Home Office,2,234.42,0.0,468.84
ORD-10065,2023-09-16,East,Furniture,Chair,Home Office,3,192.39,0.0,577.17
ORD-10066,2023-01-27,North,Technology,Monitor,Corporate,11,401.14,0.15,3750.66
ORD-10067,2022-09-05,West,Furniture,Desk,Consumer,2,249.43,0.2,399.09
